TenantId,OrgName,CountryCode,TotalUsers,EXOEnabledUsers,SPOEnabledUsers,CloudEnabledUsers,CloudActiveUsers,WXPCloudUsers,WXPCloudCollaborators,WXPCloudContributors,WXPCloudCoauthors,TotalMailUsers,TotalAttachments,UsersSentAttachment,OWAMailUsers,TotalOWAMails,TotalGoogleLinks,UsersSentGoogleLink,TotalSPOLinks,UsersSentSPOLink,GoogleAddinDevices,GoogleAddinUsers,Xcoord1,Ycoord1,Xcoord,Ycoord,Legend,CoauthorRatio2,CoauthorRatio
854f1943-a1e6-4ec5-a7ea-89798abbc53c,一般財団法人福岡県社会保険医療協会,JP,532,530,530,532,312,310,276,233,194,142,5844,117,22,168,0,0,0,0,0,0,0.047758085,0.297893172,0.03087407,0.213289961,Others,0.364661654,36.46616541
999e2137-1170-4efb-8d1c-b79e5d145183,CITY OF SAN RAFAEL,US,822,820,820,822,48,27,9,5,2,186,41840,172,84,763,11,6,1,1,0,0,0.666641913,0.297524431,0.430962608,0.213025945,Sent Google links,0.00243309,0.243309002
dee8c786-6f48-4b07-a31d-c98bd65ca660,INSTITUTO NACIONAL DE NEUROLOGIA,MX,315,310,15,315,2,1,0,0,0,71,27941,68,21,257,0,0,0,0,0,0,0.631786114,0.297236729,0.408429452,0.212819952,Others,0,0
101b553b-de96-42cd-bd27-1ccdc1b60a69,OVERSTOCK.COM,US,1795,31,1753,1795,485,261,171,94,72,161,185371,154,57,2362,0,0,0,0,0,0,0.892817154,0.297216418,0.577177645,0.212805409,Others,0.040111421,4.011142061
7b75f57b-52ed-4cc8-a777-e2282dee49ef,HENRY COMPANY,US,381,366,362,381,57,28,5,4,2,70,72618,65,14,47,0,0,0,0,0,0,0.673377729,0.297030474,0.435317097,0.212672274,Others,0.005249344,0.524934383
2f436130-bd91-4cfb-b216-a9127020e559,AMPLEXOR,BE,1677,1669,1672,1677,167,112,65,43,29,96,344915,93,39,305,0,0,3,2,0,0,0.935286168,0.297013921,0.6046325,0.212660422,Others,0.017292785,1.729278473
0490a2bb-e655-46b4-819d-8627ea2937ae,株式会社トプコン,JP,1682,1613,1622,1682,932,604,363,41,15,224,465187,207,1,1,0,0,0,0,0,0,0.894123744,0.296401925,0.578022314,0.212222236,Others,0.008917955,0.891795482
c26bbe28-489b-4008-99dd-4d6c98440f41,STREAM-FLO GROUP OF COMPANIES,CA,977,764,944,977,653,460,399,57,50,106,43087,94,20,112,0,0,1,1,0,0,0.166011205,0.295579474,0.107320918,0.211633365,Others,0.051177073,5.117707267
9feebc97-ff04-42c9-a152-767073872118,COX COMMUNICATIONS,US,17142,2589,645,17142,297,314,216,122,86,258,877011,252,30,143,0,0,17,4,0,0,1.188709454,0.295337534,0.768462524,0.211460138,Others,0.005016918,0.501691751
b804e519-1cc6-497d-a95f-e00204c038ee,STATUTÁRNÍ MĚSTO BRNO,CZ,541,136,540,541,37,23,4,3,2,102,43448,101,2,3,0,0,0,0,0,0,0.715364258,0.295307035,0.462460041,0.211438301,Others,0.003696858,0.369685767
0654c800-b85e-453f-9346-51105e8642a1,PEPCO,PL,2116,673,2113,2116,592,392,85,36,27,73,616881,73,11,100,1,1,2,2,0,0,0.98295204,0.29518782,0.635446957,0.211352943,Sent Google links,0.012759924,1.275992439
2122a60e-5a48-4f84-b9ca-9a214314077a,PT WIJAYA KARYA,ID,837,836,836,837,59,29,2,2,2,196,54278,169,14,30,0,0,4,2,0,0,0.652677239,0.295165087,0.421934894,0.211336667,Others,0.002389486,0.238948626
35cfa35b-631d-44ad-a31e-0792c7e23985,LOUISVILLE WATER COMPANY,US,503,501,402,503,20,5,0,0,0,108,81817,96,13,61,0,0,0,0,0,0,0.669630641,0.294884812,0.432894725,0.211135991,Others,0,0
be67623c-1932-42a6-9d24-6c359fe5ea71,EXPERIAN SERVICES CORP.,US,15340,14759,5,15371,10,28,20,11,9,111,715593,110,3,15,0,0,0,0,0,0,1.165580007,0.294856418,0.753510078,0.211115661,Others,0.000585518,0.058551818
f1e2e89e-7190-4b0f-9463-d7f5b09db86c,CALIFORNIA HIGHWAY PATROL,US,11148,11125,0,11148,0,3,0,0,0,2183,342589,2006,689,2211,2,2,0,0,0,0,0.99807687,0.294541816,0.645224674,0.210890408,Sent Google links,0,0
3bea478c-1684-4a8c-8e85-045ec54ba430,PRINCIPAL FINANCIAL GROUP,US,15023,249,14772,15023,2998,461,237,57,38,369,1073655,365,0,0,0,0,0,0,0,0,1.162811594,0.294413211,0.751720388,0.210798327,Others,0.002529455,0.252945484
15a22a39-3a71-4373-a9ae-95309a38849b,ITT CORPORATION,US,5825,5689,4679,5825,111,63,31,20,19,700,454324,649,106,497,0,0,2,1,0,0,0.973874733,0.294325123,0.629578769,0.210735256,Others,0.003261803,0.326180258
e092c3e4-727f-40c6-85c8-5a0f7ae68d2b,DAA,IE,3302,1832,1877,3302,419,472,382,250,170,326,1157696,277,45,137,0,0,6,6,0,0,0.94354547,0.294289457,0.609971874,0.21070972,Others,0.051483949,5.148394912
f6c84aab-8d42-44d0-bd12-a71e7a4fc9f0,SERVICE EXPERTS,US,2132,2063,645,2132,45,37,25,17,12,248,125490,237,81,464,0,0,0,0,0,0,0.879196533,0.294038132,0.56837235,0.210529772,Others,0.005628518,0.562851782
0a001dbe-0f25-4933-b579-30e32ac1073f,DEFENCE HEALTH LIMITED,AU,263,262,247,263,13,9,2,1,0,46,216356,44,13,93,0,0,0,0,0,0,0.746274788,0.293764002,0.482442707,0.210333497,Others,0,0
d5b58626-321d-40d7-86be-b4e20e3ee5ff,STATE OF FLORIDA  DEPARTMENT OF THE LOTTERY,US,455,449,455,455,16,8,1,1,0,76,182624,73,11,28,0,0,0,0,0,0,0.756592615,0.293527767,0.489112851,0.210164354,Others,0,0
f1ef409d-a0a8-4117-a5ad-c5397f77e4c2,BOSTONMARKET,US,1269,1224,0,1269,0,0,0,0,0,308,57766,273,33,209,0,0,0,0,0,0,0.688752421,0.293351092,0.445256343,0.210037855,Others,0,0
8e4a72ef-928b-45b6-a137-7ed7bb318678,ABM (ONEABM.LOCAL),US,12015,10419,10423,12015,403,299,210,142,106,159,506909,156,9,169,0,0,14,3,0,0,1.124312948,0.293256873,0.726832248,0.209970395,Others,0.008822305,0.882230545
def7dd40-afc2-425e-95b6-44e880ba967e,GLOBAL SPIRITS,UA,5966,198,195,5966,8,6,2,2,2,162,871707,159,20,153,0,0,0,0,0,0,1.074292827,0.293110678,0.694495845,0.209865721,Others,0.000335233,0.033523299
cd468def-58d6-4867-8dfb-c39fd947ef6c,OLIVER WYMAN,US,5755,5677,0,5755,0,5,4,3,2,690,1364918,602,121,834,2,1,0,0,1,1,0.985144673,0.292978001,0.636864424,0.209770724,Sent Google links,0.000347524,0.034752389
58960a76-cbbf-4ebd-b1fa-72bc576d5786,松山市役所,JP,4782,4711,0,4782,0,0,0,0,0,1394,38260,1316,545,1560,0,0,0,0,0,0,0.920540131,0.292848034,0.59509966,0.209677668,Others,0,0
